trip_id,block_id,route_id,service_id,direction_id,shape_id
458,201,2ad98d8,2,0,396a_eb1
459,201,2ad98d8,2,1,396a_wb1
460,201,2ad98d8,2,0,396a_eb1
461,201,a857d03,2,0,395a_lp1
462,201,b88e084,2,0,393a_eb1
463,201,b88e084,2,1,393a_wb1
464,202,2ad98d8,2,0,396a_eb1
465,202,2ad98d8,2,1,396a_wb1
466,202,2ad98d8,2,0,396a_eb1
467,202,2ad98d8,2,1,396a_wb1
468,202,2ad98d8,2,0,396a_eb1
469,202,a857d03,2,0,395a_lp1
470,202,b88e084,2,0,393a_eb1
471,202,b88e084,2,1,393a_wb1
472,202,a3c2d22,2,1,392a_wb1
473,202,61f23b4,2,0,394a_eb1
474,202,a3c2d22,2,1,392a_wb1
475,202,a3c2d22,2,0,392a_eb1
476,203,a3c2d22,2,1,392a_wb1
477,203,61f23b4,2,0,394a_eb1
478,203,61f23b4,2,1,394a_wb1
479,203,a3c2d22,2,0,392a_eb1
480,203,2ad98d8,2,1,396a_wb1
481,203,2ad98d8,2,0,396a_eb1
482,203,2ad98d8,2,1,396a_wb1
483,203,2ad98d8,2,0,396a_eb1
484,204,b88e084,2,1,393a_wb1
485,204,b88e084,2,0,393a_eb1
486,204,b88e084,2,1,393a_wb1
487,204,b88e084,2,0,393a_eb1
488,204,b88e084,2,1,393a_wb1
489,204,a3c2d22,2,1,392a_wb1
490,204,61f23b4,2,0,394a_eb1
491,204,a857d03,2,0,395a_lp1
492,204,b88e084,2,0,393a_eb1
493,204,b88e084,2,1,393a_wb1
494,205,b88e084,2,1,393a_wb1
495,205,2ad98d8,2,1,396a_wb1
496,205,2ad98d8,2,0,396a_eb1
497,205,a857d03,2,0,395a_lp1
498,205,b88e084,2,0,393a_eb1
499,205,b88e084,2,1,393a_wb1
500,205,a3c2d22,2,1,392a_wb1
501,205,61f23b4,2,0,394a_eb1
502,205,a857d03,2,0,395a_lp1
503,205,b88e084,2,0,393a_eb1
504,205,b88e084,2,1,393a_wb1
505,206,61f23b4,2,1,394a_wb1
506,206,a3c2d22,2,0,392a_eb1
507,206,61f23b4,2,1,394a_wb1
508,206,a3c2d22,2,0,392a_eb1
509,206,61f23b4,2,1,394a_wb1
510,206,a3c2d22,2,0,392a_eb1
511,206,2ad98d8,2,1,396a_wb1
512,206,2ad98d8,2,0,396a_eb1
513,207,a3c2d22,2,1,392a_wb1
514,207,61f23b4,2,0,394a_eb1
515,207,a857d03,2,0,395a_lp1
516,207,b88e084,2,0,393a_eb1
517,207,b88e084,2,1,393a_wb1
