stop_id,stop_name,stop_lat,stop_lon,stop_code,location_type,parent_station
1014780,MacArthur Blvd:Beaumont Av,37.800482,-122.229193,57885,,
1014790,MacArthur Blvd:Boston Av,37.799547,-122.212658,58008,,
1014800,MacArthur Blvd:Boston Av,37.799478,-122.212930,54115,,
1014810,MacArthur Blvd:Byron Av,37.745407,-122.155551,54410,,
1014830,MacArthur Blvd:Camden St (Seminary Av Jctn),37.775819,-122.185146,51755,,
1014840,MacArthur Blvd:Canon Av,37.801016,-122.218427,55950,,
1014860,MacArthur Blvd:Castlemont High School,37.759532,-122.162897,56800,,
1014870,MacArthur Blvd:Castlemont High School,37.760093,-122.162903,51151,,
1014880,MacArthur Blvd:Coolidge Av,37.798641,-122.208473,56611,,
1014890,MacArthur Blvd:Coolidge Av(Bret Harte Junior High),37.798473,-122.209001,55772,,
1014910,MacArthur Blvd:E.C. Reems Ct,37.761292,-122.163568,55774,,
1014930,MacArthur Blvd:Enos Av,37.785209,-122.189933,59322,,
1014960,MacArthur Blvd:Fruitvale Av,37.800546,-122.216622,55000,,place_FVMA
1014970,MacArthur Blvd:Grand Av,37.810236,-122.249096,51195,,
1014980,MacArthur Blvd:Green Acre Rd,37.785621,-122.191966,53088,,
1015000,MacArthur Blvd:High St,37.787255,-122.194629,55510,,
1015010,MacArthur Blvd:Laguna Av,37.799136,-122.211081,54505,,
1015020,MacArthur Blvd:Laguna Av,37.798948,-122.210897,51322,,
1015030,MacArthur Blvd:Lake Shore Av,37.809706,-122.247528,55576,,
1015040,MacArthur Blvd:Laurel Av,37.796099,-122.203157,51125,,
1015050,MacArthur Blvd:Laurel Av,37.796162,-122.203509,53346,,
1015080,MacArthur Blvd:Maple Av,37.797393,-122.205135,58581,,
1015090,MacArthur Blvd:Maple Av,37.797406,-122.204773,56400,,
1015100,MacArthur Blvd:Maybelle Av,37.788599,-122.196067,57677,,
1015120,MacArthur Blvd:Oakland High School,37.805135,-122.236144,55221,,
1015130,MacArthur Blvd:Park Blvd,37.804059,-122.234134,55574,,
1015140,MacArthur Blvd:Parker Av,37.766118,-122.167990,58358,,
1015150,MacArthur Blvd:Parker Av,37.765980,-122.167623,50556,,
1015160,MacArthur Blvd:Patterson Av,37.791104,-122.198111,58877,,
1015180,MacArthur Blvd:Richard's Gate (Mills College),37.783232,-122.188018,52277,,
1015190,MacArthur Blvd:Randolph Av,37.800866,-122.224800,56669,,
1015210,MacArthur Blvd:Ritchie St,37.764602,-122.166429,50566,,
1015220,MacArthur Blvd:Ritchie St,37.764717,-122.166773,58582,,
1015230,MacArthur Blvd:Seminary Av,37.776354,-122.183609,54422,,place_SMSE
1015240,MacArthur Blvd:Sheffield Av (Altenheim Retiremt.),37.800201,-122.221281,51411,,
1015250,MacArthur Blvd:Sheffield Av,37.799991,-122.220904,50405,,
1015270,MacArthur Blvd:Van Buren Av,37.811312,-122.250548,54479,,
1015280,MacArthur Blvd:Vernon St,37.817221,-122.252921,51552,,
1015290,MacArthur Blvd:Warner Av,37.748396,-122.157994,54497,,
1015300,MacArthur Blvd:Wesley Av,37.808583,-122.244452,57748,,
1015310,MacArthur Blvd:Woodruff Av,37.800354,-122.222855,53349,,
1015320,MacArthur Blvd:Woodruff Av,37.800474,-122.222731,55710,,
1015340,Madera Av:Fleming Av,37.777368,-122.194335,51587,,
1015360,Madera Av:Walnut St,37.776661,-122.195714,59897,,
1015370,Madison St:10th St,37.798578,-122.266010,57084,,
1015410,Mandana Blvd:#801,37.811674,-122.232913,52470,,
1015420,Mandana Blvd:#804,37.811795,-122.232859,52587,,
1015430,Mandana Blvd:Ardmore Av,37.813162,-122.226400,52740,,
1015440,Mandana Blvd:Ardmore Av,37.813070,-122.226352,53473,,
1015450,Mandana Blvd:Calmar Av,37.810404,-122.239592,53475,,
1015460,Mandana Blvd:Calmar Av,37.810527,-122.239408,53587,,
1015470,Mandana Blvd:Carlston Av,37.812086,-122.229783,53740,,
1015480,Mandana Blvd:Carlston Av,37.812293,-122.229625,56475,,
1015490,Mandana Blvd:Lake Shore Av,37.811386,-122.241725,59926,,place_MBLS
1015500,Mandana Blvd:Paloma Av,37.810842,-122.234757,57140,,
1015510,Mandana Blvd:Paloma Av,37.810975,-122.234874,57240,,
1015610,Market St:21st St,37.813008,-122.279099,58385,,
1015620,Market St:24th St,37.816132,-122.278169,52775,,
1015630,Market St:26th St (Mc Clymonds High School),37.817659,-122.277621,50330,,
1015640,Market St:27th St,37.817440,-122.277487,56056,,
1015650,Market St:28th St,37.818949,-122.276943,55984,,
1015660,Market St:28th St,37.819186,-122.277070,54425,,
1015670,Market St:31st St,37.821344,-122.276177,54495,,
1015680,Market St:32nd St,37.822514,-122.276083,54515,,
1015690,Market St:33rd St,37.823835,-122.275542,55158,,
1015700,Market St:33rd St,37.824097,-122.275693,55052,,
1015710,Market St:35th St,37.825571,-122.275392,58508,,
1015720,Market St:36th St,37.826212,-122.274919,59984,,
1015730,Market St:40th St,37.830808,-122.273993,52722,,
1015750,Market St:40th St,37.830886,-122.273785,56477,,
1015760,Market St:42nd St,37.832469,-122.273581,51004,,
1015770,Market St:43rd St,37.832959,-122.273259,52237,,
1015780,Market St:44th St,37.833866,-122.273236,58518,,
1015790,Market St:45th St,37.834341,-122.272910,51104,,
1015800,Market St:46th St,37.835346,-122.273225,53653,,
1015810,Market St:47th St,37.835834,-122.273117,50338,,
1015820,Market St:52nd St,37.836644,-122.273490,56774,,
1015830,Market St:53rd St,37.837395,-122.273437,52337,,
